Date,Team,Quarter 1,Quarter 2,Quarter 3,Quarter 4
"Thursday, January 27, 2022",Lakers,22,26,20,19
"Thursday, January 27, 2022",76ers,32,22,34,17
"Thursday, January 27, 2022",Timberwolves,29,32,20,34
"Thursday, January 27, 2022",Warriors,29,28,38,29
"Friday, January 28, 2022",Pistons,19,32,24,28
"Friday, January 28, 2022",Magic,39,28,25,27
"Friday, January 28, 2022",Lakers,21,28,36,29
"Friday, January 28, 2022",Hornets,31,34,22,30
"Friday, January 28, 2022",Celtics,20,27,30,15
"Friday, January 28, 2022",Hawks,32,30,18,28
"Friday, January 28, 2022",Nuggets,26,24,36,30
"Friday, January 28, 2022",Pelicans,17,31,30,27
"Friday, January 28, 2022",Clippers,19,26,35,34
"Friday, January 28, 2022",Heat,28,29,39,25
"Friday, January 28, 2022",Trail Blazers,32,34,25,34
"Friday, January 28, 2022",Rockets,20,33,32,25
"Friday, January 28, 2022",Jazz,30,21,27,31
"Friday, January 28, 2022",Grizzlies,31,28,29,31
"Friday, January 28, 2022",Pacers,29,22,22,27
"Friday, January 28, 2022",Thunder,30,24,26,20
"Friday, January 28, 2022",Bulls,35,33,23,31
"Friday, January 28, 2022",Spurs,29,34,35,33
"Friday, January 28, 2022",Timberwolves,32,34,27,31
"Friday, January 28, 2022",Suns,40,34,26,34
"Friday, January 28, 2022",Knicks,30,33,25,20
"Friday, January 28, 2022",Bucks,39,28,26,30
"Saturday, January 29, 2022",Celtics,27,25,26,29
"Saturday, January 29, 2022",Pelicans,15,19,36,27
"Saturday, January 29, 2022",Pacers,23,37,20,25
"Saturday, January 29, 2022",Mavericks,34,38,32,28
"Saturday, January 29, 2022",Kings,31,30,22,18
"Saturday, January 29, 2022",76ers,27,23,31,22
"Saturday, January 29, 2022",Raptors,28,31,26,15
"Saturday, January 29, 2022",Heat,27,26,22,25
"Saturday, January 29, 2022",Wizards,15,26,31,23
"Saturday, January 29, 2022",Grizzlies,30,33,24,28
"Saturday, January 29, 2022",Nets,20,27,29,30
"Saturday, January 29, 2022",Warriors,31,23,24,32
"Sunday, January 30, 2022",Lakers,33,38,30,20
"Sunday, January 30, 2022",Hawks,34,28,29,38
"Sunday, January 30, 2022",Clippers,24,27,33,31
"Sunday, January 30, 2022",Hornets,25,22,29,14
"Sunday, January 30, 2022",Trail Blazers,35,30,27,24
"Sunday, January 30, 2022",Bulls,29,44,31,26
"Sunday, January 30, 2022",Cavaliers,29,26,33,17
"Sunday, January 30, 2022",Pistons,24,25,35,31
"Sunday, January 30, 2022",Mavericks,34,25,29,20
"Sunday, January 30, 2022",Magic,23,41,27,19
"Sunday, January 30, 2022",Nuggets,33,32,38,33
"Sunday, January 30, 2022",Bucks,30,27,24,19
"Sunday, January 30, 2022",Jazz,20,28,27,31
"Sunday, January 30, 2022",Timberwolves,26,26,40,34
"Sunday, January 30, 2022",Spurs,31,24,36,19
"Sunday, January 30, 2022",Suns,23,27,29,36
"Monday, January 31, 2022",Pelicans,19,20,27,24
"Monday, January 31, 2022",Cavaliers,17,21,22,33
"Monday, January 31, 2022",Clippers,27,28,30,31
"Monday, January 31, 2022",Pacers,30,30,24,38
"Monday, January 31, 2022",Grizzlies,30,28,22,31
"Monday, January 31, 2022",76ers,39,24,21,27
"Monday, January 31, 2022",Heat,14,31,25,22
"Monday, January 31, 2022",Celtics,27,27,40,28
"Monday, January 31, 2022",Kings,23,18,25,30
"Monday, January 31, 2022",Knicks,31,23,30,32
"Monday, January 31, 2022",Raptors,25,23,32,26
"Monday, January 31, 2022",Hawks,24,33,15,28
"Monday, January 31, 2022",Warriors,23,38,26,35
"Monday, January 31, 2022",Rockets,25,27,26,30
"Monday, January 31, 2022",Trail Blazers,31,16,14,20
"Monday, January 31, 2022",Thunder,19,20,26,33
"Tuesday, February 1, 2022",Pelicans,31,26,27,27
"Tuesday, February 1, 2022",Pistons,33,32,22,14
"Tuesday, February 1, 2022",Wizards,20,20,33,25
"Tuesday, February 1, 2022",Bucks,24,29,25,34
"Tuesday, February 1, 2022",Heat,32,30,21,23
"Tuesday, February 1, 2022",Raptors,22,28,30,30
"Tuesday, February 1, 2022",Magic,33,30,31,21
"Tuesday, February 1, 2022",Bulls,34,36,33,23
"Tuesday, February 1, 2022",Nuggets,28,23,27,37
"Tuesday, February 1, 2022",Timberwolves,30,39,31,30
"Tuesday, February 1, 2022",Warriors,30,31,28,35
"Tuesday, February 1, 2022",Spurs,36,33,35,16
"Tuesday, February 1, 2022",Nets,29,29,24,29
"Tuesday, February 1, 2022",Suns,39,26,26,30
"Wednesday, February 2, 2022",Magic,28,25,33,33
"Wednesday, February 2, 2022",Pacers,34,33,21,30
"Wednesday, February 2, 2022",Wizards,29,30,22,25
"Wednesday, February 2, 2022",76ers,28,26,25,24
"Wednesday, February 2, 2022",Hornets,22,31,25,29
"Wednesday, February 2, 2022",Celtics,27,27,34,25
"Wednesday, February 2, 2022",Grizzlies,35,29,28,28
"Wednesday, February 2, 2022",Knicks,27,25,27,29
"Wednesday, February 2, 2022",Cavaliers,31,22,30,21
"Wednesday, February 2, 2022",Rockets,32,32,26,25
"Wednesday, February 2, 2022",Thunder,30,21,34,18
"Wednesday, February 2, 2022",Mavericks,28,23,25,27
"Wednesday, February 2, 2022",Nuggets,30,31,18,25
"Wednesday, February 2, 2022",Jazz,28,32,22,26
"Wednesday, February 2, 2022",Nets,32,30,24,15
"Wednesday, February 2, 2022",Kings,23,31,29,29
"Wednesday, February 2, 2022",Trail Blazers,16,37,22,19
"Wednesday, February 2, 2022",Lakers,28,26,18,27
"Thursday, February 3, 2022",Timberwolves,31,34,38,25
"Thursday, February 3, 2022",Pistons,32,35,27,23
"Thursday, February 3, 2022",Heat,21,36,31,24
"Thursday, February 3, 2022",Spurs,19,28,19,29
"Thursday, February 3, 2022",Suns,30,31,30,24
"Thursday, February 3, 2022",Hawks,32,32,36,24
"Thursday, February 3, 2022",Bulls,24,26,31,33
"Thursday, February 3, 2022",Raptors,26,28,33,27
"Thursday, February 3, 2022",Kings,23,31,29,31
"Thursday, February 3, 2022",Warriors,34,39,21,32
"Thursday, February 3, 2022",Lakers,26,28,28,28
"Thursday, February 3, 2022",Clippers,28,32,34,17
"Friday, February 4, 2022",Cavaliers,22,30,24,26
"Friday, February 4, 2022",Hornets,31,15,19,36
"Friday, February 4, 2022",Celtics,28,18,32,24
"Friday, February 4, 2022",Pistons,16,15,25,37
"Friday, February 4, 2022",Bulls,40,25,28,29
"Friday, February 4, 2022",Pacers,33,29,28,25
"Friday, February 4, 2022",Hawks,28,31,27,28
"Friday, February 4, 2022",Raptors,39,21,36,29
"Friday, February 4, 2022",Rockets,25,29,23,29
"Friday, February 4, 2022",Spurs,33,24,40,34
"Friday, February 4, 2022",Nets,24,23,26,29
"Friday, February 4, 2022",Jazz,33,35,37,20
"Friday, February 4, 2022",Pelicans,27,24,31,31
"Friday, February 4, 2022",Nuggets,29,23,30,23
"Friday, February 4, 2022",76ers,33,30,15,20
"Friday, February 4, 2022",Mavericks,24,29,32,22
"Friday, February 4, 2022",Thunder,21,25,29,21
"Friday, February 4, 2022",Trail Blazers,19,31,26,17
"Saturday, February 5, 2022",Grizzlies,37,39,32,27
"Saturday, February 5, 2022",Magic,24,32,25,34
"Saturday, February 5, 2022",Heat,31,15,35,23
"Saturday, February 5, 2022",Hornets,23,28,8,27
"Saturday, February 5, 2022",Suns,33,26,26,10
"Saturday, February 5, 2022",Wizards,21,11,19,29
"Saturday, February 5, 2022",Knicks,42,29,13,27
"Saturday, February 5, 2022",Lakers,29,27,31,24
"Saturday, February 5, 2022",Bucks,34,36,37,30
"Saturday, February 5, 2022",Trail Blazers,26,28,21,33
"Saturday, February 5, 2022",Thunder,30,27,22,24
"Saturday, February 5, 2022",Kings,36,28,25,24
"Sunday, February 6, 2022",76ers,34,27,28,30
"Sunday, February 6, 2022",Bulls,26,26,29,27
"Sunday, February 6, 2022",Pistons,26,30,23,26
"Sunday, February 6, 2022",Timberwolves,24,31,28,35
"Sunday, February 6, 2022",Nets,40,35,16,13
"Sunday, February 6, 2022",Nuggets,39,37,31,17
"Sunday, February 6, 2022",Pacers,27,20,21,17
"Sunday, February 6, 2022",Cavaliers,12,24,25,37
"Sunday, February 6, 2022",Celtics,21,28,29,38
"Sunday, February 6, 2022",Magic,15,24,22,22
"Sunday, February 6, 2022",Hawks,26,24,26,18
"Sunday, February 6, 2022",Mavericks,29,25,26,23
"Sunday, February 6, 2022",Pelicans,26,23,38,33
"Sunday, February 6, 2022",Rockets,21,33,23,30
"Sunday, February 6, 2022",Bucks,28,32,39,38
"Sunday, February 6, 2022",Clippers,32,19,30,32
"Monday, February 7, 2022",Raptors,35,21,24,36
"Monday, February 7, 2022",Hornets,21,20,34,26
"Monday, February 7, 2022",Heat,39,21,31,30
"Monday, February 7, 2022",Wizards,24,29,17,30
"Monday, February 7, 2022",Suns,36,31,35,25
"Monday, February 7, 2022",Bulls,29,20,34,41
"Monday, February 7, 2022",Warriors,20,36,29,25
"Monday, February 7, 2022",Thunder,23,23,26,26
"Monday, February 7, 2022",Knicks,28,29,29,18
"Monday, February 7, 2022",Jazz,28,31,23,31
"Tuesday, February 8, 2022",Suns,29,26,28,31
"Tuesday, February 8, 2022",76ers,25,34,25,25
"Tuesday, February 8, 2022",Pacers,22,28,25,37
"Tuesday, February 8, 2022",Hawks,40,36,30,27
"Tuesday, February 8, 2022",Celtics,35,34,28,29
"Tuesday, February 8, 2022",Nets,16,27,28,20
"Tuesday, February 8, 2022",Clippers,27,28,19,35
"Tuesday, February 8, 2022",Grizzlies,38,32,34,31
"Tuesday, February 8, 2022",Rockets,30,23,23,21
"Tuesday, February 8, 2022",Pelicans,35,29,22,24
"Tuesday, February 8, 2022",Pistons,26,25,20,15
"Tuesday, February 8, 2022",Mavericks,36,29,33,18
"Tuesday, February 8, 2022",Knicks,36,24,34,21
"Tuesday, February 8, 2022",Nuggets,40,43,28,21
"Tuesday, February 8, 2022",Bucks,38,40,31,22
"Tuesday, February 8, 2022",Lakers,24,32,29,31
"Tuesday, February 8, 2022",Magic,32,30,21,30
"Tuesday, February 8, 2022",Trail Blazers,28,19,32,16
"Tuesday, February 8, 2022",Timberwolves,35,38,29,32
"Tuesday, February 8, 2022",Kings,35,32,23,24
"Wednesday, February 9, 2022",Spurs,30,18,25,19
"Wednesday, February 9, 2022",Cavaliers,29,28,27,21
"Wednesday, February 9, 2022",Bulls,28,30,31,32
"Wednesday, February 9, 2022",Hornets,29,16,31,33
"Wednesday, February 9, 2022",Raptors,34,25,28,30
"Wednesday, February 9, 2022",Thunder,22,29,21,26
"Wednesday, February 9, 2022",Warriors,31,18,16,20
"Wednesday, February 9, 2022",Jazz,30,25,24,32
"Wednesday, February 9, 2022",Lakers,18,36,24,27
"Wednesday, February 9, 2022",Trail Blazers,18,29,29,31
"Wednesday, February 9, 2022",Timberwolves,37,27,37,18
"Wednesday, February 9, 2022",Kings,29,42,28,33
"Thursday, February 10, 2022",Grizzlies,41,24,30,37
"Thursday, February 10, 2022",Pistons,19,31,30,27
"Thursday, February 10, 2022",Nets,27,32,19,34
"Thursday, February 10, 2022",Wizards,24,31,31,27
"Thursday, February 10, 2022",Heat,27,29,27,29
"Thursday, February 10, 2022",Pelicans,24,31,18,24
"Thursday, February 10, 2022",Raptors,37,36,31,35
"Thursday, February 10, 2022",Rockets,41,23,28,28
"Thursday, February 10, 2022",Clippers,28,22,31,24
"Thursday, February 10, 2022",Mavericks,36,23,30,23
"Thursday, February 10, 2022",Bucks,34,22,21,30
"Thursday, February 10, 2022",Suns,31,33,33,34
"Thursday, February 10, 2022",Knicks,33,24,31,28
"Thursday, February 10, 2022",Warriors,28,34,20,32
"Friday, February 11, 2022",Hornets,36,43,31,31
"Friday, February 11, 2022",Pistons,29,26,32,32
"Friday, February 11, 2022",Cavaliers,28,35,25,32
"Friday, February 11, 2022",Pacers,47,27,22,17
"Friday, February 11, 2022",Thunder,24,17,20,26
"Friday, February 11, 2022",76ers,24,22,31,23
"Friday, February 11, 2022",Spurs,43,30,30,33
"Friday, February 11, 2022",Hawks,29,27,31,34
"Friday, February 11, 2022",Nuggets,32,28,19,23
"Friday, February 11, 2022",Celtics,30,21,25,32
"Friday, February 11, 2022",Timberwolves,27,32,32,31
"Friday, February 11, 2022",Bulls,27,33,32,42
"Friday, February 11, 2022",Magic,12,27,35,25
"Friday, February 11, 2022",Jazz,28,16,33,37
"Saturday, February 12, 2022",Knicks,23,30,39,11
"Saturday, February 12, 2022",Trail Blazers,20,28,29,35
"Saturday, February 12, 2022",Grizzlies,36,38,25,26
"Saturday, February 12, 2022",Hornets,15,28,32,43
"Saturday, February 12, 2022",Kings,24,35,33,31
"Saturday, February 12, 2022",Wizards,29,36,23,22
"Saturday, February 12, 2022",Spurs,37,22,39,26
"Saturday, February 12, 2022",Pelicans,33,20,29,32
"Saturday, February 12, 2022",Cavaliers,23,28,20,22
"Saturday, February 12, 2022",76ers,36,22,22,23
"Saturday, February 12, 2022",Nuggets,31,25,27,27
"Saturday, February 12, 2022",Raptors,25,32,29,23
"Saturday, February 12, 2022",Nets,26,32,18,35
"Saturday, February 12, 2022",Heat,26,38,27,24
"Saturday, February 12, 2022",Thunder,29,25,26,21
"Saturday, February 12, 2022",Bulls,22,28,31,25
"Saturday, February 12, 2022",Clippers,23,26,21,29
"Saturday, February 12, 2022",Mavericks,26,22,19,30
"Saturday, February 12, 2022",Lakers,26,36,32,21
"Saturday, February 12, 2022",Warriors,32,33,30,22
"Saturday, February 12, 2022",Magic,26,27,25,27
"Saturday, February 12, 2022",Suns,36,31,33,32
"Sunday, February 13, 2022",Hawks,28,27,23,17
"Sunday, February 13, 2022",Celtics,17,28,42,18
"Sunday, February 13, 2022",Timberwolves,33,41,28,27
"Sunday, February 13, 2022",Pacers,37,25,36,22
"Monday, February 14, 2022",Pistons,22,28,28,16
"Monday, February 14, 2022",Wizards,24,26,37,16
"Monday, February 14, 2022",Kings,24,24,18,19
"Monday, February 14, 2022",Nets,35,20,25,29
"Monday, February 14, 2022",Thunder,29,32,30,21
"Monday, February 14, 2022",Knicks,31,31,32,18
"Monday, February 14, 2022",Spurs,27,30,32,20
"Monday, February 14, 2022",Bulls,29,30,24,37
"Monday, February 14, 2022",Trail Blazers,31,40,23,28
"Monday, February 14, 2022",Bucks,30,24,24,29
"Monday, February 14, 2022",Raptors,17,27,25,21
"Monday, February 14, 2022",Pelicans,29,31,34,26
"Monday, February 14, 2022",Magic,14,26,30,41
"Monday, February 14, 2022",Nuggets,29,24,32,36
"Monday, February 14, 2022",Rockets,24,29,25,23
"Monday, February 14, 2022",Jazz,36,42,22,35
"Monday, February 14, 2022",Warriors,37,22,19,26
"Monday, February 14, 2022",Clippers,34,27,33,25
"Tuesday, February 15, 2022",Cavaliers,36,25,29,26
"Tuesday, February 15, 2022",Hawks,34,32,28,30
"Tuesday, February 15, 2022",Mavericks,23,28,30,26
"Tuesday, February 15, 2022",Heat,28,31,19,21
"Tuesday, February 15, 2022",Celtics,32,37,32,34
"Tuesday, February 15, 2022",76ers,22,20,16,29
"Tuesday, February 15, 2022",Pacers,27,36,31,25
"Tuesday, February 15, 2022",Bucks,34,35,30,29
"Tuesday, February 15, 2022",Hornets,24,34,29,21
"Tuesday, February 15, 2022",Timberwolves,27,25,26,30
"Tuesday, February 15, 2022",Grizzlies,37,28,28,28
"Tuesday, February 15, 2022",Pelicans,27,26,30,26
"Tuesday, February 15, 2022",Clippers,26,21,25,24
"Tuesday, February 15, 2022",Suns,22,31,28,22
"Wednesday, February 16, 2022",Hawks,37,35,32,26
"Wednesday, February 16, 2022",Magic,25,28,29,27
"Wednesday, February 16, 2022",Pistons,23,25,36,28
"Wednesday, February 16, 2022",Celtics,25,27,31,28
"Wednesday, February 16, 2022",Wizards,25,26,25,32
"Wednesday, February 16, 2022",Pacers,25,31,28,29
"Wednesday, February 16, 2022",Nets,18,26,29,38
"Wednesday, February 16, 2022",Knicks,38,27,22,19
"Wednesday, February 16, 2022",Kings,30,29,29,30
"Wednesday, February 16, 2022",Bulls,33,32,25,35
"Wednesday, February 16, 2022",Trail Blazers,36,32,26,29
"Wednesday, February 16, 2022",Grizzlies,32,25,33,29
"Wednesday, February 16, 2022",Raptors,30,19,23,31
"Wednesday, February 16, 2022",Timberwolves,23,28,23,17
"Wednesday, February 16, 2022",Spurs,34,39,16,25
"Wednesday, February 16, 2022",Thunder,29,29,23,25
"Wednesday, February 16, 2022",Rockets,32,35,28,26
"Wednesday, February 16, 2022",Suns,27,32,30,35
"Wednesday, February 16, 2022",Nuggets,25,29,24,39
"Wednesday, February 16, 2022",Warriors,33,30,23,30
"Wednesday, February 16, 2022",Jazz,27,26,26,22
"Wednesday, February 16, 2022",Lakers,27,19,25,35
"Thursday, February 17, 2022",Heat,37,10,17,23
"Thursday, February 17, 2022",Hornets,30,24,17,16
"Thursday, February 17, 2022",Wizards,26,29,23,39
"Thursday, February 17, 2022",Nets,28,23,27,25
"Thursday, February 17, 2022",Mavericks,45,26,34,20
"Thursday, February 17, 2022",Pelicans,27,31,23,37
"Thursday, February 17, 2022",76ers,24,45,31,23
"Thursday, February 17, 2022",Bucks,27,34,32,27
"Thursday, February 17, 2022",Rockets,27,32,20,32
"Thursday, February 17, 2022",Clippers,36,35,36,35
"Thursday, February 24, 2022",Cavaliers,33,22,27,21
"Thursday, February 24, 2022",Pistons,27,25,28,26
"Thursday, February 24, 2022",Celtics,35,32,30,32
"Thursday, February 24, 2022",Nets,22,30,22,32
"Thursday, February 24, 2022",Hawks,19,31,32,26
"Thursday, February 24, 2022",Bulls,24,28,30,30
"Thursday, February 24, 2022",Grizzlies,31,25,27,31
"Thursday, February 24, 2022",Timberwolves,21,32,31,35
"Thursday, February 24, 2022",Suns,31,17,37,39
"Thursday, February 24, 2022",Thunder,14,31,32,27
"Thursday, February 24, 2022",Warriors,31,39,30,32
"Thursday, February 24, 2022",Trail Blazers,32,25,16,22
"Thursday, February 24, 2022",Nuggets,35,28,29,36
"Thursday, February 24, 2022",Kings,25,33,29,23
"Friday, February 25, 2022",Raptors,19,28,14,32
"Friday, February 25, 2022",Hornets,28,42,27,28
"Friday, February 25, 2022",Thunder,29,40,23,31
"Friday, February 25, 2022",Pacers,36,25,32,30
"Friday, February 25, 2022",Rockets,33,18,32,28
"Friday, February 25, 2022",Magic,27,31,28,33
"Friday, February 25, 2022",Spurs,30,45,26,29
"Friday, February 25, 2022",Wizards,33,38,29,30
"Friday, February 25, 2022",Heat,30,35,25,25
"Friday, February 25, 2022",Knicks,32,23,30,15
"Friday, February 25, 2022",76ers,34,31,27,41
"Friday, February 25, 2022",Timberwolves,25,24,25,28
"Friday, February 25, 2022",Pelicans,31,22,42,22
"Friday, February 25, 2022",Suns,22,28,31,21
"Friday, February 25, 2022",Mavericks,34,33,19,23
"Friday, February 25, 2022",Jazz,31,29,29,25
"Friday, February 25, 2022",Clippers,24,33,15,33
"Friday, February 25, 2022",Lakers,22,25,31,24
"Saturday, February 26, 2022",Celtics,30,26,22,35
"Saturday, February 26, 2022",Pistons,26,28,28,22
"Saturday, February 26, 2022",Raptors,37,21,16,26
"Saturday, February 26, 2022",Hawks,32,34,38,23
"Saturday, February 26, 2022",Wizards,23,19,28,16
"Saturday, February 26, 2022",Cavaliers,18,22,26,26
"Saturday, February 26, 2022",Spurs,40,18,39,32
"Saturday, February 26, 2022",Heat,28,33,38,34
"Saturday, February 26, 2022",Grizzlies,31,28,34,23
"Saturday, February 26, 2022",Bulls,22,30,27,31
"Saturday, February 26, 2022",Nets,25,28,43,30
"Saturday, February 26, 2022",Bucks,32,27,34,30
"Saturday, February 26, 2022",Kings,30,29,26,25
"Saturday, February 26, 2022",Nuggets,38,21,26,30
"Sunday, February 27, 2022",76ers,38,27,26,34
"Sunday, February 27, 2022",Knicks,35,21,33,20
"Sunday, February 27, 2022",Jazz,32,24,38,24
"Sunday, February 27, 2022",Suns,32,28,29,25
"Sunday, February 27, 2022",Celtics,30,25,27,25
"Sunday, February 27, 2022",Pacers,27,39,27,35
"Sunday, February 27, 2022",Pistons,31,27,24,34
"Sunday, February 27, 2022",Hornets,28,26,30,32
"Sunday, February 27, 2022",Clippers,19,27,28,25
"Sunday, February 27, 2022",Rockets,28,22,30,18
"Sunday, February 27, 2022",Mavericks,24,24,26,33
"Sunday, February 27, 2022",Warriors,37,23,28,13
"Sunday, February 27, 2022",Nuggets,32,33,21,38
"Sunday, February 27, 2022",Trail Blazers,27,21,22,22
"Sunday, February 27, 2022",Pelicans,24,27,44,28
"Sunday, February 27, 2022",Lakers,20,20,25,30
"Monday, February 28, 2022",Timberwolves,26,38,37,26
"Monday, February 28, 2022",Cavaliers,37,24,27,34
"Monday, February 28, 2022",Pacers,32,24,19,28
"Monday, February 28, 2022",Magic,31,24,35,29
"Monday, February 28, 2022",Raptors,42,29,29,33
"Monday, February 28, 2022",Nets,27,21,21,28
"Monday, February 28, 2022",Bulls,21,25,21,32
"Monday, February 28, 2022",Heat,30,25,36,21
"Monday, February 28, 2022",Spurs,34,24,27,20
"Monday, February 28, 2022",Grizzlies,42,26,28,22
"Monday, February 28, 2022",Hornets,32,21,23,30
"Monday, February 28, 2022",Bucks,32,44,32,22
"Monday, February 28, 2022",Kings,35,24,40,32
"Monday, February 28, 2022",Thunder,32,27,31,20
"Tuesday, March 1, 2022",Pistons,24,40,21,28
"Tuesday, March 1, 2022",Wizards,27,36,24,29
"Tuesday, March 1, 2022",Hawks,28,37,13,20
"Tuesday, March 1, 2022",Celtics,19,32,31,25
"Tuesday, March 1, 2022",Nets,25,34,30,19
"Tuesday, March 1, 2022",Raptors,32,23,26,28
"Tuesday, March 1, 2022",Clippers,29,20,40,24
"Tuesday, March 1, 2022",Rockets,27,23,25,25
"Tuesday, March 1, 2022",Warriors,27,29,31,27
"Tuesday, March 1, 2022",Timberwolves,34,34,28,33
"Tuesday, March 1, 2022",Mavericks,30,41,14,24
"Tuesday, March 1, 2022",Lakers,25,31,31,17
"Wednesday, March 2, 2022",Hornets,38,26,32,23
"Wednesday, March 2, 2022",Cavaliers,31,18,31,18
"Wednesday, March 2, 2022",Pacers,22,36,18,34
"Wednesday, March 2, 2022",Magic,31,31,29,19
"Wednesday, March 2, 2022",Knicks,33,29,19,27
"Wednesday, March 2, 2022",76ers,25,30,38,30
"Wednesday, March 2, 2022",Jazz,25,41,27,24
"Wednesday, March 2, 2022",Rockets,20,33,30,34
"Wednesday, March 2, 2022",Heat,28,38,31,22
"Wednesday, March 2, 2022",Bucks,36,28,29,27
"Wednesday, March 2, 2022",Kings,33,28,21,13
"Wednesday, March 2, 2022",Pelicans,31,34,31,29
"Wednesday, March 2, 2022",Thunder,24,31,31,33
"Wednesday, March 2, 2022",Nuggets,24,33,22,28
"Wednesday, March 2, 2022",Trail Blazers,28,20,21,21
"Wednesday, March 2, 2022",Suns,29,34,29,28
"Thursday, March 3, 2022",Bulls,35,28,29,32
"Thursday, March 3, 2022",Hawks,29,27,34,40
"Thursday, March 3, 2022",Grizzlies,20,25,27,35
"Thursday, March 3, 2022",Celtics,26,21,36,37
"Thursday, March 3, 2022",Heat,23,37,28,25
"Thursday, March 3, 2022",Nets,35,32,17,23
"Thursday, March 3, 2022",Pistons,31,29,31,17
"Thursday, March 3, 2022",Raptors,22,35,20,29
"Thursday, March 3, 2022",Warriors,27,27,37,22
"Thursday, March 3, 2022",Mavericks,38,30,31,23
"Thursday, March 3, 2022",Kings,30,34,24,27
"Thursday, March 3, 2022",Spurs,27,24,31,30
"Thursday, March 3, 2022",Lakers,31,32,18,30
"Thursday, March 3, 2022",Clippers,36,30,40,26
"Friday, March 4, 2022",Pacers,32,30,26,18
"Friday, March 4, 2022",Pistons,39,26,24,22
"Friday, March 4, 2022",Cavaliers,43,28,28,20
"Friday, March 4, 2022",76ers,30,33,34,28
"Friday, March 4, 2022",Hawks,33,35,25,24
"Friday, March 4, 2022",Wizards,25,34,25,30
"Friday, March 4, 2022",Bucks,25,32,24,37
"Friday, March 4, 2022",Bulls,25,28,35,24
"Friday, March 4, 2022",Magic,27,21,24,31
"Friday, March 4, 2022",Raptors,23,16,21,37
"Friday, March 4, 2022",Jazz,17,21,25,27
"Friday, March 4, 2022",Pelicans,35,30,30,29
"Friday, March 4, 2022",Timberwolves,32,45,31,30
"Friday, March 4, 2022",Thunder,34,26,27,14
"Friday, March 4, 2022",Rockets,26,20,24,31
"Friday, March 4, 2022",Nuggets,25,26,36,29
"Friday, March 4, 2022",Knicks,24,31,38,21
"Friday, March 4, 2022",Suns,26,32,23,34
"Saturday, March 5, 2022",Kings,36,29,27,21
"Saturday, March 5, 2022",Mavericks,26,25,34,29
"Saturday, March 5, 2022",Spurs,30,30,37,20
"Saturday, March 5, 2022",Hornets,31,31,37,24
"Saturday, March 5, 2022",76ers,14,26,28,14
"Saturday, March 5, 2022",Heat,22,32,19,26
"Saturday, March 5, 2022",Magic,29,16,29,22
"Saturday, March 5, 2022",Grizzlies,31,37,29,27
"Saturday, March 5, 2022",Trail Blazers,34,30,37,20
"Saturday, March 5, 2022",Timberwolves,32,31,46,26
"Saturday, March 5, 2022",Warriors,25,42,27,22
"Saturday, March 5, 2022",Lakers,32,30,27,35
"Sunday, March 6, 2022",Nets,34,26,30,30
"Sunday, March 6, 2022",Celtics,29,29,31,37
"Sunday, March 6, 2022",Suns,33,30,27,32
"Sunday, March 6, 2022",Bucks,30,30,31,41
"Sunday, March 6, 2022",Pacers,26,35,26,36
"Sunday, March 6, 2022",Wizards,30,27,39,37
"Sunday, March 6, 2022",Grizzlies,34,28,30,20
"Sunday, March 6, 2022",Rockets,27,25,40,31
"Sunday, March 6, 2022",Jazz,33,28,30,25
"Sunday, March 6, 2022",Thunder,24,21,31,27
"Sunday, March 6, 2022",Raptors,29,17,16,34
"Sunday, March 6, 2022",Cavaliers,30,29,14,31
"Sunday, March 6, 2022",Pelicans,19,38,37,30
"Sunday, March 6, 2022",Nuggets,35,27,22,40
"Sunday, March 6, 2022",Knicks,25,34,21,36
"Sunday, March 6, 2022",Clippers,22,18,28,25
"Monday, March 7, 2022",Hawks,30,26,20,25
"Monday, March 7, 2022",Pistons,29,30,19,23
"Monday, March 7, 2022",Bulls,32,21,24,29
"Monday, March 7, 2022",76ers,37,22,29,33
"Monday, March 7, 2022",Rockets,32,26,20,28
"Monday, March 7, 2022",Heat,25,37,28,33
"Monday, March 7, 2022",Trail Blazers,15,19,26,21
"Monday, March 7, 2022",Timberwolves,31,30,29,34
"Monday, March 7, 2022",Jazz,24,25,19,35
"Monday, March 7, 2022",Mavericks,30,30,25,26
"Monday, March 7, 2022",Lakers,22,34,36,18
"Monday, March 7, 2022",Spurs,31,31,33,22
"Monday, March 7, 2022",Warriors,31,38,32,23
"Monday, March 7, 2022",Nuggets,40,31,33,27
"Monday, March 7, 2022",Knicks,17,31,44,39
"Monday, March 7, 2022",Kings,33,30,24,28
"Tuesday, March 8, 2022",Nets,34,35,31,32
"Tuesday, March 8, 2022",Hornets,20,23,41,37
"Tuesday, March 8, 2022",Cavaliers,32,31,27,37
"Tuesday, March 8, 2022",Pacers,24,39,35,26
"Tuesday, March 8, 2022",Suns,28,25,26,23
"Tuesday, March 8, 2022",Magic,22,21,28,28
"Tuesday, March 8, 2022",Pelicans,34,24,26,27
"Tuesday, March 8, 2022",Grizzlies,44,33,35,20
"Tuesday, March 8, 2022",Bucks,39,37,29,37
"Tuesday, March 8, 2022",Thunder,34,31,28,22
"Tuesday, March 8, 2022",Clippers,21,15,25,36
"Tuesday, March 8, 2022",Warriors,21,33,32,26
"Wednesday, March 9, 2022",Celtics,29,23,35,28
"Wednesday, March 9, 2022",Hornets,22,26,30,23
